system,display_name,dataset_version,harness_version,runs,status,reason,ours_3_9_1,A_no_transfer,B_no_human_handled,C_self_service_completion,D_no_repeat_24h,D_no_repeat_72h,A_and_D_no_repeat_72h,false_containment_vs_B,escalation_recall,escalation_precision,escalation_quality,hallucinated_policy_rate,hallucinated_policy_financial_contacts,ttft_p50_ms,ttft_p95_ms,turns_to_resolution_p50,judge_agreement_kappa
voice-platform-a,developer voice platform A,1.0.0,1.0.0,0,not run,"voice-platform-a is not configured: base_url, docs_date, paths.create_session, paths.end_session, paths.send_turn, response_paths.agent_version, response_paths.disposition, response_paths.first_token_ms, response_paths.reply_text, response_paths.transfer, response_paths.transfer_destination, response_paths.transfer_fields still read placeholder. Fill them in from the platform's current API documentation and record the documentation date in the run config.; customer model: no interface key: environment variable HC_CUSTOMER_KEY is not set for the customer model placeholder - model version string; judge model: no interface key: environment variable HC_JUDGE_KEY is not set for the judge model placeholder - model version string, must differ from every model under test",not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run
voice-platform-b,developer voice platform B,1.0.0,1.0.0,0,not run,"voice-platform-b is not configured: base_url, docs_date, paths.create_session, paths.end_session, paths.send_turn, response_paths.agent_version, response_paths.disposition, response_paths.first_token_ms, response_paths.reply_text, response_paths.transfer, response_paths.transfer_destination, response_paths.transfer_fields still read placeholder. Fill them in from the platform's current API documentation and record the documentation date in the run config.; customer model: no interface key: environment variable HC_CUSTOMER_KEY is not set for the customer model placeholder - model version string; judge model: no interface key: environment variable HC_JUDGE_KEY is not set for the judge model placeholder - model version string, must differ from every model under test",not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run
general-llm,general model with the reference agent prompt,1.0.0,1.0.0,0,not run,"no interface key: environment variable HC_GENERAL_LLM_KEY is not set for the agent model placeholder - model version string; customer model: no interface key: environment variable HC_CUSTOMER_KEY is not set for the customer model placeholder - model version string; judge model: no interface key: environment variable HC_JUDGE_KEY is not set for the judge model placeholder - model version string, must differ from every model under test",not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run
entailment-agent,our agent,1.0.0,1.0.0,0,not run,"no interface key: environment variable HC_ENTAILMENT_KEY is not set for the agent model placeholder - model version string; customer model: no interface key: environment variable HC_CUSTOMER_KEY is not set for the customer model placeholder - model version string; judge model: no interface key: environment variable HC_JUDGE_KEY is not set for the judge model placeholder - model version string, must differ from every model under test",not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run
